City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,boende,-0.2167,20.8667,296.95,40,98,0.96,CD,1676772164
127,georgetown,5.4112,100.3354,302.11,76,20,4.63,MY,1676772165
128,khani,41.9563,42.9566,270.91,87,100,1.92,GE,1676772166
129,japura,-0.3167,102.35,299.4,83,88,1.6,ID,1676772166
130,luanda,-8.8368,13.2343,299.15,89,40,2.57,AO,1676772167
131,matay,28.419,30.7792,283.2,79,15,7.84,EG,1676772044
132,bilibino,68.0546,166.4372,252.03,94,100,0.29,RU,1676772168
133,asau,46.4333,26.4,282.75,80,58,7.59,RO,1676772171
134,butaritari,3.0707,172.7902,299.8,81,14,4.03,KI,1676772172
135,adrar,20.5022,-10.0711,295.84,16,100,0.89,MR,1676772173
136,saint george,37.1041,-113.5841,284.23,31,0,1.54,US,1676772037
137,narsaq,60.9167,-46.05,268.27,96,100,4.17,GL,1676772173
138,zyryanka,65.75,150.85,238.58,93,100,1.84,RU,1676772173
139,ogaminana,7.5946,6.2248,297.33,22,80,0.94,NG,1676772174
140,araouane,18.9048,-3.5265,293.77,15,4,4.06,ML,1676772174
141,vaini,-21.2,-175.2,301.24,89,75,3.09,TO,1676772175
142,orel-izumrud,43.4583,39.9244,279.16,81,100,7.15,RU,1676772175
143,mahibadhoo,3.7833,72.9667,299.95,73,81,4.78,MV,1676772175
144,hazorasp,41.3194,61.0742,273.06,61,100,4.69,UZ,1676772176
145,zaraza,9.3503,-65.3245,296.73,70,17,3.99,VE,1676772176
146,kavieng,-2.5744,150.7967,301.38,74,90,0.64,PG,1676772176
147,masterton,-40.9597,175.6575,294.2,45,0,2.59,NZ,1676772177
148,atuona,-9.8,-139.0333,299.38,77,51,7.61,PF,1676772177
149,bethel,41.3712,-73.414,277.35,54,12,0.89,US,1676772178
150,apartado,7.883,-76.6259,297.02,91,7,3.01,CO,1676772178
